%PRN R-G-B  Approximate  Year Doy of healthy status
1 120 120 255 2011 290 % 11oct17
3 245 208  76 2014 347 % 14dec13 
5 0 100 0    2008 240  % 08aug27
6 135 206 250 2014 163 % 14jun12
7 255 0 0    2008 85   % 08mar25
8 75 0 130    2015 224  % 15aug12
9 255 179 222 2014 258 % 14sep15
12 0 255 0   2006 300  % 06oct27
15 0 0 255   2007 285  % 07oct12
17 255 100 0  2005 270 % 05sep27
24 139  69 13 2012 319 % 12nov14
25 122 0 255  2010 240 % 10aug28
26 210 105 30 2015 111 % 15apr21
27 250 181 127 2013 173 % 13jun22
29 0 255 255  2007 355 % 07dec21
30 150 150 150 2014 151 % 14may31
31 255 0 255 2006 270  % 06sep27
99 0 0 0      0    0   % nothing
